id,genre,track_name,artist_name,danceability,valence,energy,tempo,loudness,speechiness,instrumentalness
6J7cSyvSCnPwv3vqHchEfL,acoustic,If It Means a Lot to You,A Day To Remember,0.584,0.44,0.536,126.996,-4.26,0.0704,0
5sM2GI0vMNZL7tvfPQfByV,acoustic,Guaranteed,Eddie Vedder,0.362,0.127,0.00679,100.466,-6.662,0.0316,0
4LloVtxNZpeh7q7xdi1DQc,acoustic,"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,0.315,0.435,0.296,173.509,-4.964,0.035,0
7jPumBvn7m7l3nolkML3cZ,acoustic,Love The Way You Lie - Part III (Original Demo),Skylar Grey,0.568,0.232,0.248,83.012,-8.046,0.0457,0.000534
4E6cwWJWZw2zWf7VFbH7wf,acoustic,Love Song,Sara Bareilles,0.583,0.573,0.786,123.055,-9.615,0.0254,0.349
4NRWBGBIMmXPRKMvKwXEAL,acoustic,"Read All About It, Pt. III",Read All About It,0.693,0.215,0.29,97.04,-8.7,0.0369,0
4E0lSJ6c5unoku9UIZoJSl,acoustic,Dust in the Wind,Kansas,0.498,0.419,0.251,93.546,-8.328,0.0494,0
3KZG39hHZiQrxFGLUaeWPb,acoustic,Distant Sun,Various Artists,0.561,0.331,0.611,103.008,-5.019,0.0317,1.55e-05
3gqP2hxwgi6mb8FhtEe4zU,acoustic,The Wolves,Ben Howard,0.496,0.507,0.531,119.159,-5.723,0.0425,0.0095
25J4d78ESH2MgAJoIakB8O,acoustic,Lost In The Light,Bahamas,0.424,0.302,0.234,113.872,-3.694,0.0681,1.5e-06
71Qc66ucEtfXYUj6U2it9l,acoustic,Don't Stop Believin',Boyce Avenue,0.519,0.285,0.62,100.137,-14.473,0.0456,0.444
4hbGPfz03P8Nnh75mFIAoH,acoustic,Lucky - Live from Spotify Sessions,Jason Mraz,0.653,0.625,0.429,146.071,-10.518,0.0383,0.0177
4jsdqalaKwDTdPGLvps128,acoustic,By Your Side,Sade,0.454,0.357,0.29,154.69,-9.463,0.0374,4.4e-05
5l3CyjzfGRVMu32K5vDwgK,acoustic,Better Man,James Morrison,0.453,0.302,0.349,107.791,-5.862,0.0276,0
3k9qjgu8zVKTEuJVJIYyc0,acoustic,Just Breathe,Pearl Jam,0.481,0.362,0.677,92.283,-9.385,0.0329,0
1WbYFNSUNn9fP1x0Z5DU95,acoustic,Riptide,MisterWives,0.466,0.263,0.488,84.654,-6.553,0.038,1.52e-05
5zYoaHjRlIEAK2jJJzHkmO,acoustic,Plateau,Nirvana,0.269,0.214,0.297,146.589,-5.683,0.0363,5.61e-06
4KSZnP1VFSaytKufyzNbDO,acoustic,The Power of Love,Gabrielle Aplin,0.623,0.235,0.675,119.946,-6.138,0.228,5.23e-05
6TKhMnW63mUIgu3MW9P580,acoustic,Diamonds,Ben Howard,0.489,0.768,0.682,120.633,-7.495,0.0321,0.000195
0VRWmkhxjjERPMMbZEOcDo,acoustic,Send Me on My Way,Various Artists,0.635,0.0724,0.239,62.466,-10.906,0.0295,0.0169
4JjPLqECP5E48MXcEc2wzA,acoustic,Tainted Love,Various Artists,0.694,0.691,0.351,145.907,-9.365,0.0312,0.00525
7IByJvSqRFltGyiiIiL4wn,acoustic,Who You Love (feat. Katy Perry),John Mayer,0.788,0.836,0.314,86.014,-8.801,0.0399,0
5EShFPc0rLTHE2NaXlDume,acoustic,Live High - From the Avocado Salad Sessions,Jason Mraz,0.346,0.261,0.562,141.354,-13.039,0.0351,0.00223
1LiteNBpuy5ltDtESG1rmr,acoustic,Feel the Same,Joshua James,0.584,0.44,0.536,126.996,-7.679,0.0268,2.8e-06
6J7cSyvSCnPwv3vqHchEfL,acoustic,If It Means a Lot to You,A Day To Remember,0.357,0.201,0.108,117.584,-8.012,0.0271,8.39e-06
6G0MfBXF1QlLpgP8pKngzs,acoustic,Shoreline - Radio Version,Anna Ternheim,0.694,0.331,0.237,136.866,-7.864,0.0256,0.000897
4BhEQsifqbzCdknLf52O1G,acoustic,Young Bodies,Sea Wolf,0.599,0.367,0.381,80.797,-5.252,0.03,1.56e-06
7f1722l0jzzDTwDD6PfvDh,acoustic,Drops Of Jupiter,Boyce Avenue,0.387,0.137,0.352,86.168,-6.219,0.0346,0
5jclmAX2XQp5G3b6K30UJl,acoustic,Clairvoyant,The Story So Far,0.312,0.184,0.812,134.414,-10.721,0.04,0
5oCMnpuRd3rUL9clNWbjr0,acoustic,My Hero - Live,Foo Fighters,0.494,0.161,0.194,135.753,-10.742,0.0435,0.00477
4Q6Kuze3wNMQRjamyBjHUR,acoustic,Rivers and Roads,The Head And The Heart,0.646,0.524,0.628,110.12,-3.244,0.0305,2.1e-05
5lxNrjf5UJhcsd8zx9AB1Y,acoustic,Home,Johnnyswim,0.436,0.458,0.46,94.443,-12.793,0.0282,0.0262
70OYqWcYDDm2SJIRFmz3wo,acoustic,Längesen,Petter,0.408,0.612,0.625,75.514,-7.421,0.0364,0.00348
5gEbHse5x6o11g2Tef4AbR,acoustic,"Ain't No Sunshine - Live at Carnegie Hall, New York, NY - October 1972",Bill Withers,0.526,0.679,0.299,156.848,-7.221,0.0304,0
7zkLpY72g6lKQbiHDqri1S,acoustic,Sunrise,Norah Jones,0.601,0.382,0.11,142.68,-10.604,0.0304,0.0788
1u3PLSZ2YkkUBuapHKz29w,acoustic,Best Thing I Never Had (made famous by Beyoncé),Megan & Liz,0.382,0.156,0.261,75.691,-8.113,0.0225,0.00131
4837kNWGD6qqRESyOL2Dn1,acoustic,jar of hearts - live at the ocean way studios,Christina Perri,0.408,0.486,0.814,97.727,-6.625,0.0302,0
3h7fGy7n9xhS1PupWW9vJ9,acoustic,We Are Young,Kurt Hugo Schneider,0.322,0.271,0.534,150.418,-11.131,0.0378,0
3pRRYcXy3Z0PsAa8griSoF,acoustic,"Dog Days Are Over - MTV Unplugged, 2012",Florence + The Machine,0.73,0.44,0.44,114.812,-11.216,0.0305,0.111
6jdNp4oX1y3iwXibaXxWph,acoustic,Counting Stars / The Monster (feat. Carly Rose Sonenclar),Boyce Avenue,0.554,0.513,0.49,84.275,-8.48,0.0992,0
23NPGXlSaIqWzvxIRhM2oG,acoustic,Under the Bridge,Red Hot Chili Peppers,0.52,0.254,0.559,146.944,-11.265,0.0317,4.83e-06
3RgR3cFZ6xh7MlB9DURK6e,acoustic,Shadow Days,John Mayer,0.625,0.669,0.414,130.088,-5.699,0.0297,0
0IktbUcnAGrvD03AWnz3Q8,acoustic,Lucky,Jason Mraz,0.639,0.613,0.435,110.061,-5.146,0.0314,0
6gr1b9QdhEkAfGbq07dBSf,acoustic,Scene Three - Stomach Tied In Knots,Sleeping With Sirens,0.694,0.521,0.718,123.24,-5.337,0.213,0
2XpeEJgRYnKl41tJia9ggT,acoustic,Thought Of You,Justin Bieber,0.544,0.219,0.69,123.962,-9.891,0.137,0.00174
02wWugZopNahlikfX5vm3F,acoustic,Snuff,Slipknot,0.557,0.841,0.936,149.954,-12.44,0.0325,0.518
2ds9vlk6o6BRCc2FAkmOvX,acoustic,Beat It,Fall Out Boy,0.491,0.0806,0.457,120.019,-3.996,0.0675,0
6oeuEHxwfbqu5xIJrcbPzN,acoustic,Perth,Bon Iver,0.434,0.278,0.354,143.579,-8.845,0.0506,2.88e-05
10FsLlEMV60mFgzZHpEmQb,acoustic,Old Pine - EP Version,Ben Howard,0.592,0.345,0.499,141.938,-6.057,0.045,0
33e9HtOfO1ye1h8xQ7Foc9,acoustic,The Cave,Mumford & Sons,0.481,0.497,0.638,79.064,-11.656,0.135,0
2hKdd3qO7cWr2Jo0Bcs0MA,acoustic,Drops of Jupiter (Tell Me),Train,0.595,0.0948,0.127,140.986,-11.753,0.113,0.0506
2voFmcVmg8HJIjKtVrdXjj,acoustic,Say Something (feat. Carly Rose Sonenclar),Boyce Avenue,0.899,0.544,0.399,98.067,-4.646,0.0464,4.63e-05
12jjuxN1gxlm29cqL5M6MW,acoustic,I Got You,Jack Johnson,0.291,0.513,0.79,155.667,-3.731,0.0871,0
6vrUTGn5p8IrfTZ0J6sIVM,acoustic,Iris,The Goo Goo Dolls,0.93,0.767,0.854,128.087,-5.947,0.0507,0.00316
4eiWWDbWczW2GLqg6Lyg48,acoustic,Cups,Lulu & The Lampshades,0.559,0.782,0.637,152.885,-8.293,0.0785,0
00cP99zN0bsUZSpXbAlQXg,acoustic,I Try,Macy Gray,0.644,0.31,0.337,108.041,-7.987,0.117,0.0006
2QaaXYzEzLio3POCFCI19r,acoustic,Machines,Biffy Clyro,0.436,0.181,0.353,119.133,-1.383,0.0573,0
1DWbTRHEL2x9sZmdagh2Su,acoustic,Hometown Glory (Live at Hotel Cafe),Adele,0.484,0.531,0.713,84.451,-15.23,0.0393,0.466
7gQfDjNAP1wwTJ19iTfzQZ,acoustic,Rise To The Occasion,Kurt Nilsen,0.428,0.487,0.377,140.998,-15.6,0.0458,0.00862
5E66OVN3EugJ1CcD2YokTP,acoustic,Twilight,Elliott Smith,0.276,0.547,0.59,153.146,-8.49,0.113,0
33DxDFhE06bRC5tdHkIxhj,acoustic,Gårdakvarnar och skit,Håkan Hellström,0.408,0.0987,0.441,137.982,-12.192,0.121,0.00042
0OaEILHp0OsUGrfGJ4rnoK,acoustic,Fix You (feat. Tyler Ward),Boyce Avenue,0.61,0.168,0.44,79.002,-5.785,0.0538,0.00276
6qTmjG7thRJEOaUKFmfjGR,acoustic,The Last Day on Earth,Kate Miller-Heidke,0.705,0.419,0.605,112.506,-11.364,0.0795,0
4vojpVoYaj4myAkIcfNKIN,acoustic,U Smile,Justin Bieber,0.58,0.569,0.579,77.474,-6.877,0.121,0.148
2Xt2ir0hgXtcfFlAx4rdu9,acoustic,Scene One - James Dean & Audrey Hepburn,Sleeping With Sirens,0.666,0.698,0.259,116.082,-1.986,0.304,0.000149
4Pl8ViAolRF4rK8QBMhKd9,acoustic,Redemption Song,Bob Marley & The Wailers,0.615,0.425,0.412,133.365,-9.044,0.0466,0.176
13McnYo2bDvC50ZS8BFROF,acoustic,Quelqu'un M'a Dit,Various Artists,0.48,0.323,0.836,106.075,-11.755,0.0323,0.181
4fZ0mkzk0ktr4WVfjqyUv2,acoustic,Hear Me Now,Boyce Avenue,0.541,0.344,0.302,101.016,-15.383,0.0397,0.00242
1uXHWnZ85lhAf19DRzU3Oz,acoustic,Walking Aimlessly,Anna Ternheim,0.345,0.265,0.601,78.459,-8.736,0.099,0.0872
1xdZeRTNLrVXRmGOWqdXmr,acoustic,Hopeless Wanderer,Mumford & Sons,0.493,0.159,0.533,83.022,-7.748,0.0492,0.349
7bcP9k51f1VNCaFUyZ3P5M,acoustic,Life for Rent,Dido,0.442,0.122,0.542,149.813,-7.907,0.032,6.57e-06
3i508xSmrzqtAGl6wYPGae,acoustic,Something In The Air,The Jepettos,0.624,0.311,0.554,97.031,-6.088,0.0701,0.015
4gs07VlJST4bdxGbBsXVue,acoustic,Heartbreak Warfare,John Mayer,0.636,0.423,0.4,110.167,-5.327,0.123,0
7jLwP6B3bcEQFooFZk67cH,acoustic,Somewhere With You,Tyler Ward,0.607,0.293,0.262,155.948,-7.271,0.0558,2.81e-05
2APaWLyP3drx0CIodMhKHd,acoustic,Hey Ya!,The Blanks,0.476,0.0568,0.408,90.055,-8.312,0.0726,0.000176
1ZXSLHLp5AJnCp12UXdYiO,acoustic,Sex On Fire,Alex Cornell,0.592,0.565,0.637,159.701,-10.618,0.0656,0.0152
53Pgsvu3qSYO2aXt5J2vcL,acoustic,Lego House,Ed Sheeran,0.589,0.594,0.554,117.472,-13.574,0.0331,0
5NTA3dsB2DlLaSG1KM6RTh,acoustic,The River,Bruce Springsteen,0.672,0.617,0.623,92.018,-11.271,0.227,0
38YgZVHPWOWsKrsCXz6JyP,acoustic,Come On Get Higher,Matt Nathanson,0.546,0.146,0.814,104.98,-7.857,0.0695,0.0181
3ZffCQKLFLUvYM59XKLbVm,acoustic,Wake Me up When September Ends,Green Day,0.781,0.741,0.737,93.077,-7.314,0.0521,0.558
2izoqbHZCGaoFOO8vcc1hK,acoustic,Boyfriend,Alex G,0.547,0.365,0.49,80.305,-4.394,0.084,0.0048
3MdYFBIzPf7lSJnI8wi3Ka,acoustic,Only Love,Ben Howard,0.379,0.145,0.321,91.72,-9.008,0.0388,0.000398
5mMV6EaKeZWkGFvE1xg13n,acoustic,Towers,Bon Iver,0.552,0.627,0.849,89.8,-8.146,0.0347,0
5GCgC77m6EaAqu7ZlukMu2,acoustic,Umbrella,Train,0.847,0.837,0.532,100.003,-2.974,0.212,0
4cNjkFy1U24mrlbdHcc2Vq,acoustic,Waterfalls,ortoPilot,0.553,0.369,0.674,91.958,-5.208,0.0693,5.3e-06
1mwt9hzaH7idmC5UCoOUkz,afrobeat,Diamonds,Rihanna,0.66,0.872,0.228,140.937,-7.985,0.0559,0
4ItY4KOgTTHcyOjzbGx4Ip,afrobeat,The Naughty Little Flea,Miriam Makeba,0.766,0.659,0.154,80.13,-5.295,0.0644,1.05e-05
6pHwqpMn46FO8ElgM3U9Wc,afrobeat,Tameyawt,Tinariwen,0.784,0.936,0.842,107.958,-10.048,0.033,0
1jqBgNjP5yfjCrAgJZE0be,afrobeat,Good Or Bad (Oway),J. Martins,0.82,0.872,0.846,127.022,-3.932,0.166,2.5e-06
7qPVJBJmsMRs6RwMffZgnr,afrobeat,Chop My Money (I Don't Care) [feat. Mayd],P-Square,0.621,0.751,0.9,123.831,-4.93,0.0384,6.31e-05
5KgU4lp0870zryRc3BEeDN,afrobeat,Roforofo Fight,Fela Kuti,0.883,0.526,0.796,123.683,-7.893,0.0508,0
5GxgujqhBRtSufmlUpmxTQ,afrobeat,Jambo Bwana,Various Artists,0.543,0.677,0.707,85.163,-15.219,0.0862,1.06e-05
7vPKfwEsnAI5vVtuKQXK8l,afrobeat,Tenidagh Hegh Djeredjere,Tinariwen,0.709,0.924,0.962,118.939,-7.532,0.0345,0.745
3Gxold2xHisD55irEJ7du7,afrobeat,Eminado (feat. Don Jazzy),Tiwa Savage,0.689,0.578,0.374,48.695,-7.182,0.0347,0.17
5KvVJQzP8rYbxvbYXP3PO1,afrobeat,Amandrai,Various Artists,0.498,0.571,0.111,97.293,-15.384,0.0403,0.000531
47Yzdc2tvRr12iQZkHKx3z,afrobeat,Iniagige,Salif Keita,0.608,0.749,0.676,113.104,-6.465,0.121,2.42e-06
5ft8cAiZ0zvICdvry3Byc0,afrobeat,Olufunmi,Styl-Plus,0.443,0.524,0.344,120.011,-16.337,0.0681,0
13ZxF2d4gzN0Qnhr8gRkWe,afrobeat,He Lives In You (Reprise),Various Artists,0.555,0.655,0.591,149.812,-4.116,0.0266,4.71e-06
335KENcqELHR9UOlRSfN6T,afrobeat,Ecoute moi camarade,Various Artists,0.625,0.45,0.454,111.858,-6.873,0.112,0.814
0PTsGBTTMJEnUTuKLbr6rn,afrobeat,Nibari,Various Artists,0.747,0.926,0.785,123.251,-8.057,0.0756,0.0785
5cJJj0iIg9YHimzmZq5Tot,afrobeat,Ikoyi Blindness,Fela Kuti,0.693,0.96,0.941,218.349,-12.277,0.136,2.09e-05
6Zzn542K7AzJV4Zl72sXN6,afrobeat,Screen Saver (Rmx) feat. R J Martins,Wizboyy,0.516,0.755,0.449,79.692,-10.0,0.0328,0.929
2KO00cY85Xc87Ix7yeCCtl,afrobeat,Ledi Coumbe,Ali Farka Touré,0.709,0.418,0.295,122.27,-12.71,0.0271,0.0144
6S1cd5F5cpflZq6bAXQmg1,afrobeat,Nomvula (After the Rain),Freshlyground,0.433,0.362,0.182,123.314,-11.606,0.066,0.000237
1Hf7m2mEoB8kmrpJV4eaB7,afrobeat,Mariama Kaba,Various Artists,0.718,0.902,0.774,116.164,-9.217,0.0324,0.884
3Xu5Ifi1CuaoEJeUTFAh5r,afrobeat,Everything Scatter,Fela Kuti,0.774,0.861,0.906,106.34,-6.8,0.0408,6.71e-05
1AOY3qoxCN6wwhQjQRRcQX,afrobeat,Fire Dance,Egypt 80,0.587,0.512,0.619,79.975,-4.27,0.13,0
5VAZqFBgO2KNRw6KXA7xMj,afrobeat,Weeping,Vusi Mahlasela,0.432,0.699,0.862,83.005,-3.084,0.297,0
0JRBZ5RZGLhZKUoDIgaxQc,afrobeat,Amidinine,Bombino,0.639,0.496,0.825,122.69,-9.351,0.0415,0.000238
68eJ1PhtTYkMCl7oYxZW3H,afrobeat,Ekuro,DaVido,0.731,0.854,0.705,100.452,-9.417,0.0526,0.258
4d4mfz1H6PsC9QPr1w8rfD,afrobeat,Sedjedo,Angelique Kidjo,0.774,0.816,0.773,109.999,-2.217,0.0474,0
3uS7o8y6YfH8GhqRzAwzAr,afrobeat,Twende Twende,Eric Wainaina,0.536,0.768,0.579,126.742,-5.662,0.0482,5.75e-05
2gK3Mp8XdNk4wtXyytQTC9,afrobeat,Dieuf Dieul,Cheikh Lô,0.542,0.288,0.169,97.986,-4.674,0.0476,0
6cBLK1pC202FMxthSKg1NN,afrobeat,Wanita,Rokia Traoré,0.842,0.962,0.688,114.003,-4.862,0.0407,1.14e-05
0bTIb1hVHD656dTDcfPLQc,afrobeat,Jupa - Remix,Various Artists,0.796,0.58,0.566,143.994,-5.611,0.0297,0.000196
4AVIdds2A4E4UsZcVU0Uso,afrobeat,I Wish You Were Here,Alpha Blondy,0.641,0.384,0.768,99.512,-2.265,0.064,0
4PCW6nxrT9qxet5scL7T1L,afrobeat,Heaven,Various Artists,0.737,0.961,0.855,130.083,-15.811,0.0557,0.0208
1PlLwvh1N9GPTuFT16JBez,afrobeat,Kukere (Master),Iyanya,0.436,0.511,0.548,168.978,-7.645,0.0882,0.0032
5J91ybNMSHJCbb99lYUGv7,afrobeat,Miyaabele,Baaba Maal,0.552,0.311,0.46,72.911,-12.893,0.0487,0.0483
3mYsWA2ClF84ZLroBpreo1,afrobeat,Pot Belly,Freshlyground,0.813,0.947,0.873,102.021,-6.032,0.0445,5.56e-06
2AuLgTuJqETu6LQsfvK3dd,afrobeat,No One Like You,P-Square,0.718,0.622,0.776,120.015,-10.65,0.201,0
1CmmRxVeqXDdqbSoPy1XgV,afrobeat,She Doesn't Mind,Sean Paul,0.715,0.919,0.703,122.869,-8.408,0.0507,0.00118
4Jh36W007VJNNj0O7TSZRe,afrobeat,Nchi Ya Kitu Kidogo,Eric Wainaina,0.703,0.897,0.704,100.02,-4.258,0.0363,0
1yhalxbMiu6wBvdX6RFB9r,afrobeat,Slow Whine (feat. Banky W),WizKid,0.383,0.47,0.316,166.416,-10.153,0.0268,0.0178
6cXxiqfG42YDbfUhssJ2d4,afrobeat,L.A.,Habib Koité,0.913,0.914,0.536,126.045,-11.475,0.0281,0.223
400CBFfdPAqN2jt6C2qoUs,afrobeat,Bum Bum,Various Artists,0.73,0.668,0.847,138.008,-6.345,0.0494,0.153
6HzuE69DMIjj7jtB912shg,afrobeat,Anything,P-Square,0.68,0.572,0.529,116.042,-13.487,0.0298,0.000374
4ADxDfrGrTw6D1slX8wUVS,afrobeat,Redemption Song,Various Artists,0.711,0.933,0.355,124.085,-8.203,0.0422,0.000345
4iEBmWl1OzPIfNbZAV378G,afrobeat,Tchamantché,Rokia Traoré,0.742,0.924,0.712,108.892,-4.344,0.032,0
4M90HjffovjuEZS0LdlIks,afrobeat,Icole,Oliver N'Goma,0.618,0.886,0.804,100.279,-4.849,0.0405,0
2XY16w5EeeqEbDgNkU4NnE,afrobeat,Din Din Wo,Habib Koité,0.725,0.617,0.266,86.727,-9.488,0.0286,0.000105
2tKqgQjnGgcPNTDViorQyU,afrobeat,Utrus Horas,Orchestra Baobab,0.769,0.788,0.953,100.018,-4.201,0.105,0.00031
37pTPl9fc7hgSI7cO5GbOs,afrobeat,Akwaaba,Blitz The Ambassador,0.404,0.294,0.27,91.396,-9.969,0.0316,0
75fomtP3etOOIJDBAXVawy,afrobeat,Homeless (with Ladysmith Black Mambazo),Paul Simon,0.693,0.935,0.774,110.001,-5.977,0.0525,0.118
2K15Edv21Uw9Cv5tBh8s9O,afrobeat,Bozos,Amadou & Mariam,0.508,0.468,0.777,121.334,-6.177,0.0415,0.78
5oLqSZBY83KCxmkqXhtmsB,afrobeat,Funky Horn,Fela Kuti,0.721,0.687,0.723,103.94,-7.702,0.0291,0.00942
18vbMUJK6F4CZwIkyUHtwr,afrobeat,Diallo,Vieux Farka Touré,0.55,0.906,0.611,108.353,-8.211,0.0315,0.774
3gSb5v1yMCWJ9hah3hMdmf,afrobeat,Ada Owerri,Various Artists,0.526,0.756,0.479,107.225,-10.751,0.0341,0.436
2DrGFzrWGzAaIV3Q6vBOdC,afrobeat,Kadi Kadi,Ali Farka Touré,0.494,0.95,0.632,133.49,-6.25,0.0561,0.191
3z4y2ScH8vWAgwUUTZ5SJd,afrobeat,Shagu,Mulatu Astatke,0.625,0.842,0.742,121.594,-9.159,0.0251,0
7pnmp2jZvY0vRg6AYE5gi6,afrobeat,Bula Bula,Various Artists,0.699,0.525,0.347,92.974,-7.693,0.0788,6.82e-06
1jIkbwboZBGhyC16T5j4gf,afrobeat,Tabara,Vieux Farka Touré,0.815,0.682,0.756,115.031,-7.742,0.0712,0.256
3EREjXvpkJSZlbwdMLVpig,afrobeat,Nguva Ye Kufara,Chiwoniso,0.748,0.51,0.725,168.02,-5.492,0.166,0.00116
6vvm7ljmnCk6ymY0DxTb22,afrobeat,Me and My Brother,P-Square,0.605,0.647,0.793,184.032,-11.535,0.0312,0.000208
7ha7zYOryB0rpnMTa4S75U,afrobeat,Got 2 Luv U (feat. Alexis Jordan),Sean Paul,0.694,0.514,0.302,124.765,-5.525,0.0456,0.0243
5XWA3kJzwdjVZd9aSEOtp3,afrobeat,Takkest Tamidaret,Tinariwen,0.509,0.718,0.643,171.818,-8.799,0.0283,0.0884
7KVy6npMdvnDl7QRcpTMtr,afrobeat,Penda Yoro,Ali Farka Touré,0.739,0.909,0.953,130.992,-4.67,0.0293,0
4QZ6TKJpZZusMnKXvdJwZx,afrobeat,Dance (feat. Wizkid),R2Bees,0.744,0.865,0.81,126.636,-5.656,0.0535,0.0339
1SV8vGscmm8g83FFSu948l,afrobeat,Ole Buruku,P-Square,0.673,0.399,0.834,125.009,-4.39,0.0287,0.0862
0XI9lbqgooxei1HiqS5Ytw,afrobeat,Dance for Me (feat. Wizkid),Various Artists,0.794,0.871,0.832,107.657,-8.994,0.0263,0.000137
2lnzGkdtDj5mtlcOW2yRtG,afrobeat,"Whenever, Wherever",Shakira,0.683,0.622,0.524,105.636,-6.589,0.0326,0.0434
3TXUKx7ljLqmK7idw5HG8G,afrobeat,A chacun son problème,Amadou & Mariam,0.819,0.964,0.89,130.044,-8.187,0.0269,0.0901
7ulLNXNQbKu2wAAH4weg9G,afrobeat,Pullover (feat. Wiz-Kid),KCee,0.629,0.963,0.544,118.925,-7.873,0.0555,2.47e-05
5OprIO7jAo89hAeX5lpI2w,afrobeat,Yoruba,King Sunny Ade,0.541,0.773,0.67,191.906,-4.386,0.131,0
3bxYImHNl1TiQKK4iTy5vy,afrobeat,Todii,Oliver Mtukudzi,0.793,0.505,0.32,109.651,-5.668,0.0363,0
4HGBN3YT56aVuUXUkrUZIC,afrobeat,Sakanto,Rokia Traoré,0.786,0.879,0.876,127.94,-4.807,0.0293,2.23e-06
7vRl1b2bJogXJ5pJyP70iz,afrobeat,Djama,Amadou & Mariam,0.563,0.899,0.715,146.377,-9.031,0.0291,0.851
713DvBtXMECOnta9AuCQFF,afrobeat,Good or Bad - Remix,Various Artists,0.755,0.735,0.701,108.996,-4.507,0.0542,0
1MN5gnxpy3GeSFoldiWwGu,afrobeat,Bissa,Fatoumata Diawara,0.709,0.883,0.865,95.023,-6.604,0.0435,0.0144
2OuR1hZQQBk2GTo5cDtw2R,afrobeat,Baby Oku,Flavour,0.579,0.514,0.349,97.972,-6.544,0.0331,0.000279
